,cohen_d
687,-3.1494838871821895
688,-3.2719704904764693
689,-5.750079038585944
690,-3.450322543404623
691,-6.255587607810958
692,-3.57902589068985
693,-2.4952367742906225
694,-4.126616321905224
695,-3.8234483248528037
696,-2.003531149332043
697,-0.9603556156157358
698,-3.167039094207514
699,-1.4992458551580257
700,-3.249464950410886
701,-3.6717982243176497
702,-3.2707464751334316
703,-4.851653107091219
704,-3.985233984545853
705,0.35005625626447257
706,-3.2318047722304684
707,-4.106354672301032
708,-5.270518702526837
709,-3.492287842817435
710,-3.3905574497270328
711,-4.3505776197341435
712,-2.6781690184668547
713,-2.2767650537258346
714,-2.7440763894582365
715,-3.0963920173752992
716,-1.6299070243506237
717,-2.283364145509479
718,-1.0785068024061994
719,-3.7519538050540873
720,-1.7956953864716327
721,1.0664914524559956
722,-3.623821406719611
723,-2.033373948300967
724,-4.3234304670460775
725,-1.2828721396900387
726,-2.438158614714979
727,-5.064910265088518
728,-2.7629894357923956
729,-3.8861170125001974
730,-2.6541671925728814
731,-2.195021630693977
732,-3.619952516779854
733,-3.5009509104969716
734,-3.167813725821391
735,-2.497438051020309
736,-2.890461002517011
737,-3.9238371371249166
738,-4.0972049963393715
739,-0.5260827955818721
740,-4.272626965373253
741,-4.443189283045595
742,-1.6068998235977843
743,-2.1128004606967044
744,-3.292860252526606
745,-2.0823433322113547
746,-4.414847678356514
747,-2.7365145349878013
748,-5.060649078429681
749,-4.188318093754762
750,-4.735272735664139
751,-4.010212450422146
752,-3.0802129869003796
753,-1.791946824354954
754,-3.489938242037872
755,-4.858588466684548
756,-0.7428276015958097
757,-3.883612746782031
758,-0.8312143559278241
759,-3.5226003311440754
760,-3.0090425455192356
761,-4.345929397967973
762,-4.36175284957179
763,-5.059225252606322
764,-2.7818795635218843
765,-3.9625521212505164
766,-3.870759910282769
767,-1.5517433332173738
768,-5.808710324882569
769,-3.0796044018888225
770,0.5232491901088315
771,-3.759990355356135
772,-4.3693487138036256
773,-2.1165183443414506
774,-2.5725504332265983
775,-3.349715036788989
776,-3.509348916619586
777,-4.578418125120021
778,-1.534132226449887
779,-3.579622662956839
780,-4.140408124099374
781,-2.356553488127199
782,-2.640572832662125
783,-4.197037554407572
784,-3.181350859349697
785,-4.159328629385801
786,-4.649764503446087
787,-1.0558404616471773
788,-2.327634718598782
789,-5.6892293093969215
790,-0.9890984017623234
791,0.037218201400134716
792,-3.5910335412050767
793,-5.968552064359692
794,-3.60267939115875
795,-4.4334756100584425
796,-0.08444056260419959
797,-2.428125868245767
798,-4.327009450145556
799,-3.2726408235771434
800,-2.401719043390901
801,-4.150559858476773
802,-3.351270624569843
803,-2.3477298634145205
804,-2.6109183049177616
805,-3.2680939189619242
806,-5.229696927523129
807,-1.8766631709274662
808,-1.5776120724838687
809,-3.471677361105244
810,-1.212444934362629
811,-0.6131448310085605
812,0.07667565032147697
813,-1.6352280770474659
814,-3.9471790843518857
815,-4.226711578808186
816,-1.397754184540496
817,-2.210567153234378
818,-4.151598588250404
819,-3.355468554081178
820,-3.7504652504788942
821,-2.576795150670149
822,-3.0509950870364513
823,-1.9962914048709681
824,-3.7097941342171477
825,-5.160024863303335
826,-2.7172602784836832
827,-4.0421236786705474
828,-2.9993769201473106
829,-4.526963486802468
830,-3.20942808910494
831,-5.876227439959153
832,-4.804455377187836
833,-2.0207686322118135
834,-2.6577326977722504
835,-3.372892173100388
836,-5.592593885056197
837,-3.7768963131195443
838,-4.322115752798059
839,-3.2526818188636053
840,-3.5096779663682955
841,-3.0682874993502423
842,0.14729436658175432
843,-4.221977198304688
844,-3.9552874156142925
845,-3.4213873649318587
846,-1.2920774422177506
847,-3.8384561984073273
848,-2.9284575477795767
849,-3.4464748342944027
850,-2.593083031677203
851,-2.26856703097133
852,-5.848752015184353
853,0.9372928374531677
854,-0.7181717684487064
855,-4.116044665761133
856,-2.469573054678851
857,-2.872127820022302
858,-3.6193318366669436
859,-3.1483364241604592
860,-3.668307379027948
861,-1.1428670401614203
862,-3.073243018127736
863,-3.6195091770909222
864,0.13480750861036497
865,-4.53032151123445
866,-3.453599690090517
867,-4.504339979813876
868,0.9838716264198254
869,-1.1287194026614433
870,-1.8093166471156634
871,-2.568083071473575
872,0.42811207758989317
873,-3.8086798784988902
874,-5.017834699314924
875,-3.755532828791344
876,-3.0640972587267212
877,-4.367329729603821
878,-3.686155265739091
879,-3.2939042020605376
880,-4.565552414840208
881,-4.064755100519924
882,-4.13832360364074
883,-0.31853368243189484
884,0.15333944006581765
885,-3.6910450719578916
886,-1.7406450820149808
887,-2.012219527100608
888,-1.4683892857867527
889,-2.8579838647006617
890,-3.6514543497145127
891,-3.046703817555116
892,-3.8666763745550687
893,-3.247577864705091
894,-3.123880394626707
895,-2.751070848620985
896,-4.146415088205999
897,-4.138979341030662
898,0.852845885523261
899,-4.403409181851589
900,-3.3025646062506446
901,-2.769779674948409
902,-4.153083603045068
903,-2.5897940257296588
904,-1.987336171922471
905,-1.4732262616844198
906,-4.359658080767596
907,1.4918192123916272
908,-1.1402637899392989
909,0.08741883304509022
910,-3.960213111712316
911,-3.467191258500804
912,-1.8078851967948737
913,-2.433543107739664
914,-3.6156145523268206
915,-4.8555608057910025
916,-3.0551513395154415
917,-2.7027266259518816
918,-3.3543847200218773
919,-3.277371164824419
920,-3.700936990015688
921,-2.4254592099832797
922,-4.137716055492935
923,-3.14674954386521
924,-1.6568393151611633
925,-3.181482919135592
926,-4.8429490115992815
927,-2.9645195994949014
928,-3.0199064847571755
929,-2.374857759395275
930,-2.672002071775673
931,-2.708669765066261
932,-4.141748181609941
933,-2.190878436388114
934,-2.67542157376714
935,-4.665053100804964
936,-3.9375129189421054
937,-3.7833375150946176
938,-3.0858161251585647
939,0.46801147221273615
940,-1.9372156628827688
941,-0.1900781248889376
942,-4.242453605739668
943,-2.5085983817521265
944,-2.011907359168666
945,-1.3553147805384664
946,-4.290156949341733
947,-3.7581374362510647
948,-3.6593450508553342
949,-4.244796385308068
950,-3.6610308399192846
951,-2.8337235382437034
952,-3.7348815610584896
953,-4.561666520445492
954,-1.6811538896131593
955,-3.15511621356727
956,-3.206913576618295
957,-2.9349287852249817
958,-4.282511664275045
959,-0.3312941424074858
960,-1.488382318610287
961,-1.8659938101649003
962,0.20106028956622335
963,-3.7156138807550465
964,-3.9661922406075396
965,-2.6524468658877702
966,-3.3934923831972785
967,-4.744019655897544
968,-0.8123978927726405
969,-1.174795249731006
970,-1.831143339227035
971,-4.94981476879732
972,-1.5323243912394708
973,-1.6310404446392925
974,-4.397777345531974
975,-4.00545311498323
976,-3.0365317625868635
977,-2.4695948593016643
978,-3.119068212680839
979,-1.5240121007581044
980,-5.04507659502707
981,-0.4402194014125604
982,-3.2052381527769502
983,-3.9119834566924463
984,-3.824574243907948
985,-3.241671483699693
986,-3.3806139465974465
987,-2.8154058454599777
988,-2.6244154885122857
989,-2.8991459900235586
990,-2.6498540445502643
991,-1.798904987267706
992,-3.7691296676918715
993,-2.7925138604732895
994,-3.815677621832956
995,-3.797877633321774
996,-3.8422949812937985
997,-1.364754693826678
998,-3.9347710831978406
999,-3.4560807412196843
1000,0.23024353439343542
1001,-1.6670031459445467
1002,-3.900320192813325
1003,-3.624905896212918
1004,-2.72345941807415
1005,-1.8587486730726874
1006,-2.511600010902475
1007,0.8296301393143019
1008,-3.6116239751806756
1009,-2.9274731623917996
1010,-4.053128015995771
1011,-2.408026697613264
1012,-4.651558183604813
1013,-0.7828134540671161
1014,-1.0478465296673423
1015,-3.4587522371741586
1016,-4.7915499335794385
1017,-3.3729725102154577
1018,-4.021706966245012
1019,-5.012448643084099
1020,-2.620534434103434
1021,-4.420139143122126
1022,-3.6392831987007583
1023,-2.52350474884451
1024,-0.054150027120311986
1025,-4.254236080040938
1026,-3.940260810181997
1027,-4.174907362720156
1028,-3.1655801577171108
1029,0.23784448958738752
1030,-1.358509936931842
1031,-2.210221344612274
1032,-1.8283712601965407
1033,-3.7727502180051733
1034,-3.222253531923703
1035,-1.769127134907138
1036,-3.2284236660757997
1037,-3.9687131942077367
1038,-1.9391075972242002
1039,-2.3491375777084285
1040,-4.5241487876425355
1041,-1.9179416254769286
1042,-3.451909355168642
1043,-4.490313696640995
1044,-3.954822239397052
1045,-1.7656990097159835
1046,-3.157837581667538
1047,-1.8950372036953629
1048,-2.136711991366306
1049,-1.0989075732625735
1050,-3.5576815716779913
1051,-3.4817135561620685
1052,-2.2916398028663565
1053,-2.159469823081831
1054,-3.3076823031915974
1055,-4.082828965261218
1056,-3.460890943737005
1057,-6.025960424923489
1058,-2.0406139469316837
1059,-3.7162459324557733
1060,-3.7048284597049452
1061,-3.586897430232664
1062,-3.432806321687322
1063,-2.2165288579835374
1064,-4.758459031191383
1065,-1.5481041692148387
