index,cohen_d
310,-3.3308329192758634
2798,-3.32836306439984
2652,-3.327517884538865
1700,-3.320452838075428
1698,-3.315782637420912
224,-3.31091432375778
1132,-3.309187771090917
451,-3.3017077346890256
2012,-3.3000422111383165
2528,-3.278832362022944
3069,-3.278772984857215
2607,-3.27750118913793
919,-3.277371164824419
1646,-3.274971682238062
3031,-3.274480694810807
2431,-3.269436454099155
1501,-3.2624374291298515
1512,-3.259870719078997
2555,-3.2546444409236184
839,-3.2526818188636053
1090,-3.2367514861852227
3066,-3.227555253621802
2884,-3.2244552656380683
2060,-3.2213837192433354
3329,-3.217090725344552
1287,-3.2144954661525635
665,-3.214345270523072
659,-3.213456712376901
2748,-3.212325517185456
22,-3.210901125940155
1599,-3.208458970056765
956,-3.206913576618295
1496,-3.2056686601884468
1129,-3.199926141521387
1358,-3.198401333735707
490,-3.194945501851731
414,-3.1903741604726004
784,-3.181350859349697
3868,-3.1813292893107112
2910,-3.181156078635317
3518,-3.1741108652778967
1265,-3.1702075106683427
245,-3.169120758217199
1215,-3.161970760555489
209,-3.1601836296783774
2401,-3.158644242013521
618,-3.1584257752041487
1046,-3.157837581667538
3389,-3.154283365242365
3837,-3.15420636093928
2211,-3.149794722050683
687,-3.149483887182189
2466,-3.14428809007658
3883,-3.139511137498641
1573,-3.137652951353392
295,-3.128842657699217
2,-3.127133619848104
1184,-3.1257849942544467
3601,-3.1217891434406675
174,-3.1213198684443246
1835,-3.099698944417561
3259,-3.097289774231608
1267,-3.090889311376099
1808,-3.090367767148948
141,-3.087457853411714
2376,-3.084645022832709
2113,-3.0842928794582027
2292,-3.083348045002883
2678,-3.0773517026580013
3704,-3.072791343277059
569,-3.0663558860564875
546,-3.0658728285121404
3334,-3.065303007643644
457,-3.0649943301548856
537,-3.056636503205828
916,-3.055151339515441
326,-3.054613108993669
602,-3.047780200634091
1816,-3.030985660866557
2664,-3.030154996909701
1389,-3.0253737321876986
1398,-3.0213116020349604
432,-3.0078954867471563
3913,-2.999376614283548
3975,-2.990297336535786
234,-2.9889728434767435
3387,-2.9884754311409907
456,-2.986546294361642
3877,-2.9823731346255427
39,-2.980104778731814
3071,-2.976052523304256
3648,-2.973189849656966
3667,-2.9618833141436864
3065,-2.9602451712284035
2468,-2.953803813232002
3982,-2.951519312550816
3417,-2.945474056653657
1761,-2.929349913568612
848,-2.9284575477795767
2794,-2.927439621935396
1714,-2.925209953693926
1281,-2.923117101897864
1553,-2.9147207856215243
519,-2.913390812730348
438,-2.9089611918538063
2323,-2.9069893786198446
