index,cohen_d
2856,0.871514752303942
945,0.8706390421530126
1734,0.869508643199265
3751,0.8675571101164041
1643,0.8662750566966991
2410,0.8646945395150148
1521,0.8619760918003714
3477,0.8610157393442677
2041,0.8598589534481696
1611,0.8557792275266146
3710,0.8498638621512954
2157,0.8494954557739248
3980,0.8479277957845044
1451,0.8477891714558529
2101,0.8476585887297662
3616,0.8465945391252806
1415,0.8451825922248559
2828,0.8443276285876832
468,0.8435209410195837
3205,0.8422057743456887
2087,0.8416880312492983
2029,0.839751492476199
1259,0.8374828134338156
3475,0.8369288470225507
936,0.836911300320053
3185,0.8365376867908844
2822,0.8360052306798489
3599,0.8329982960330674
48,0.8327298234345868
376,0.8319466975638548
12,0.8303679019028138
2777,0.8300305412080167
1684,0.8287257570525153
1124,0.8280128302308926
2156,0.8270844571983169
4067,0.8256749701986332
2131,0.8247580178723811
3174,0.8240297188268872
3996,0.8209970984562208
1900,0.8206477075852306
508,0.8191171851987729
1343,0.8173091115839284
3775,0.8162933915696069
2249,0.8162102470505564
1836,0.8152569379602265
2476,0.8145768182815786
1269,0.8144361669244624
1104,0.8142028096032592
3151,0.8126395497074637
558,0.8096423137461745
1914,0.8081008224282097
1940,0.807816970953495
1678,0.807567876206069
1509,0.8062310202878229
1069,0.8042065542519234
1863,0.8039960741941538
202,0.8022896190313659
3669,0.799997753922916
3884,0.7973227508727561
1568,0.7939004191885776
2975,0.7933157829297369
3585,0.7918653285765322
3264,0.78887037667962
3762,0.7873662391161897
2405,0.785707395372765
3076,0.7822874916079122
1459,0.7818235880030581
730,0.7805192919777559
2197,0.7791179647562978
568,0.7782031992424959
2269,0.7779411567696679
2283,0.7777772477974196
3020,0.7708944326636648
3798,0.770711911061404
3756,0.7704182120783133
1838,0.7698098980936021
1835,0.7692442593792651
591,0.7618491691815825
2891,0.7618127650273328
1987,0.7613739395106622
2063,0.7610470441638825
3800,0.7596982866928229
1072,0.7593547004476223
637,0.7558212953789201
3831,0.7545799889196302
700,0.7542834644146554
3510,0.7541298527499538
2707,0.7534763197268259
1948,0.7533430957133903
3115,0.752054603806781
2767,0.7508174780265755
1429,0.7473411529578361
1604,0.7457216753224839
3561,0.7449028251186846
2062,0.7440176209016488
3692,0.7439246849099281
330,0.7428200786192971
3334,0.7423944980221224
1093,0.7416276115974263
3108,0.7415061406468697
782,0.7391919550601336
910,0.7340140721040711
3634,0.7326383215269439
2030,0.7325091660604937
317,0.7311296760568555
3682,0.7304432212598572
1986,0.730151274968509
1687,0.7281730267531485
279,0.7278077632712556
551,0.7246380561603643
3294,0.7240369088594826
2119,0.7237285229236058
3106,0.7233221751762821
3998,0.7229776789714358
1074,0.7222570681629783
1943,0.7206333844881937
456,0.7197226736636337
3259,0.7174993365332322
1586,0.7150272985251238
2033,0.7145603300858197
2228,0.713021985874323
1015,0.7114138169418174
2337,0.7074974438486475
923,0.7069284107597864
251,0.7058013524083698
1890,0.7049140284576745
2010,0.7045539382725026
813,0.7040290703204063
3313,0.7039962442458183
1810,0.6993978663814978
308,0.6987498976539231
4060,0.6970596146326992
1957,0.6947111855337978
519,0.6933452787586923
1161,0.6913643674900593
2655,0.6904574489988147
745,0.6894607965312263
3740,0.6877733072452477
3024,0.6866043050736911
1492,0.6860240687007062
1955,0.6837506515567316
1561,0.6832176111316716
2991,0.6809522052802697
2841,0.6797953716917493
662,0.6782806731355832
2906,0.6776197121459728
366,0.675988605448946
3496,0.6747745689338748
2608,0.6690091515531
2956,0.6666407317926639
2406,0.6661671636810621
151,0.6653559641774933
192,0.6649509498990361
3919,0.6641131743290665
804,0.6639831614476097
1275,0.6637904387958947
2581,0.6630423244587348
2348,0.6624748506010603
207,0.6617098995696421
998,0.6616801980957998
9,0.659398941713943
947,0.6586317223125503
3987,0.6583192880103529
2470,0.6579950326312177
3545,0.6565296897858792
946,0.6562335497326076
3772,0.6555812974780578
1686,0.6549746056496331
1191,0.6541048603051183
1266,0.653032607363719
3769,0.6527404848922872
2413,0.652591141332488
1246,0.6525758417754518
1033,0.6518405798005493
3801,0.6517947472074118
2818,0.6468327178342901
2133,0.6444964790383448
2872,0.6433092428735188
2596,0.641048712914161
2039,0.6408215612399689
3513,0.6384078413751008
749,0.6350567183890178
1313,0.6324849506679342
484,0.6290249771967507
3768,0.6289789317275976
1968,0.6285873557940715
1832,0.6282131880044995
3019,0.6275498236612564
2060,0.6249312738386045
2840,0.6241412453444298
2992,0.6225443323250447
1903,0.6191962097485221
1664,0.6184166784990375
1841,0.6169422975452438
2259,0.6168231985640363
794,0.6155667607348729
2088,0.6149757906261415
3842,0.6143022350972788
2204,0.6122936254644243
2877,0.6120055154935269
161,0.6097285869739067
649,0.6062907834240374
4050,0.603450179828137
2506,0.6013139911991996
2245,0.6011941764104092
734,0.5988761806483395
1577,0.595991609766722
717,0.5947266130578573
337,0.5943417610973282
3877,0.5942500927013308
1210,0.5927722913885746
3841,0.5921096779604986
2569,0.5908183602797931
3290,0.5902025836948872
1493,0.5893248523335723
2258,0.588998481053628
3301,0.587467249644838
1991,0.5855165224840655
498,0.5834592641870906
3969,0.5832293649489874
3679,0.5827925483672755
