,mean,std
341,-0.92988336,0.6449942
342,-0.79473454,0.7573368
343,-1.5441786,0.76108027
344,-1.256287,0.85482824
345,-1.3687238,0.7408445
346,-0.748156,0.7245432
347,-0.47903734,0.71055114
348,-0.7303971,0.7840548
349,-1.4051342,0.796668
350,-1.6154997,0.7588792
351,-0.82079786,0.737773
352,-1.4055223,0.60542643
353,-1.0724374,0.6825405
354,-2.4187782,0.88724744
355,-0.5781924,0.6822555
356,-0.96425784,0.7351581
357,-0.80552477,0.66487134
358,-0.74534935,0.73056436
359,-0.9675214,0.7720386
360,-0.7488974,0.7217718
361,-1.7104377,0.742517
362,-1.297275,0.7318122
363,-0.9362108,0.679869
364,-0.73691386,0.61059123
365,-1.4628772,0.77865326
366,-1.294847,0.66935563
367,-1.072105,0.7199114
368,-0.95712054,0.70974797
369,-0.76396954,0.79364216
370,-1.1624908,0.7343744
371,-0.9624302,0.7157631
372,-0.55843955,0.6883978
373,-1.7390528,0.73704445
374,-0.9024675,0.64319605
375,-0.8881692,0.64979637
376,-0.9762026,0.8100175
377,-0.7229092,0.84700596
378,-1.1391553,0.7494414
379,-0.6426482,0.60050136
380,-1.520613,0.73820686
381,-1.0987297,0.64332926
382,-1.4800737,0.71373415
383,-1.6686857,0.70824975
384,-1.208389,0.7603699
385,-3.9817486,0.9802741
386,-0.8272252,0.7610192
387,-1.2231201,0.8534655
388,-1.5369921,0.77887213
389,-1.0649301,0.7315849
390,-1.0571805,0.7089493
391,-0.92897576,0.6996845
392,-2.575734,0.88619524
393,-2.3025446,0.86269313
394,-0.7827389,0.785405
395,-0.55538386,0.72575474
396,-1.3768041,0.8295972
397,-1.8216317,0.6977941
398,-0.9479155,0.7380051
399,-1.8067592,0.7818477
400,-1.4680623,0.74699545
401,-2.9257627,0.9216066
402,-1.0651627,0.80160266
403,-1.5155566,0.68679047
404,-1.3386866,0.697436
405,-0.88246506,0.7032328
406,-2.92108,0.93536454
407,-0.96342355,0.7625401
408,-1.2436975,0.7254437
409,-1.2397711,0.7023279
410,-2.4933057,0.83879715
411,-1.6040803,0.73544407
412,-1.5334581,0.79236156
413,-1.2607504,0.9733467
414,-0.8105423,0.7303959
415,-0.6594739,0.6446009
416,-1.6021296,0.78369796
417,-0.8044874,0.6274552
418,-3.6900558,1.0072485
419,-0.58308023,0.7127316
420,-1.0045552,0.7243406
421,-0.50495106,0.6682227
422,-1.4538038,0.851815
423,-1.3681365,0.6462867
424,-2.0197816,0.76317155
425,-0.80146027,0.75615436
426,-2.5927253,0.9176719
427,-1.3943843,0.7073199
428,-0.81045103,0.7010935
429,-1.2986302,0.67715776
430,-1.0651989,0.7049011
431,-0.72971976,0.72831064
432,-1.1218597,0.76230204
433,-1.017753,0.6074535
434,-2.4238024,0.86426187
435,-2.0208414,0.90137315
436,-1.0779167,0.6316622
437,-1.304851,0.67213506
438,-0.6792956,0.6587937
439,-0.7341991,0.64768076
440,-0.81473255,0.6941022
441,-1.0072011,0.7715987
442,-1.1661681,0.76043546
443,-1.0261545,0.69811773
444,-1.4872057,0.7059229
445,-1.3153327,0.7159805
446,-0.8976551,0.762167
447,-1.6055416,0.74929607
448,-1.8550731,0.8338797
449,-1.1581635,0.69111484
450,-0.77567035,0.7104659
451,-1.7274321,0.79324925
452,-1.236193,0.73218244
453,-0.7401075,0.754793
454,-1.0769453,0.7556348
455,-1.1446223,0.7696767
456,-1.4323698,0.8366195
457,-1.6769605,0.84811246
458,-0.6453575,0.68037516
459,-0.89661753,0.7143313
460,-1.2067449,0.71433395
461,-2.5693088,0.8458855
462,-0.7636926,0.6813128
463,-2.140748,0.93409437
464,-1.35172,0.684196
465,-1.8893946,0.9679553
466,-1.1184433,0.71248597
467,-1.4126216,0.67973244
468,-1.8808695,0.77222866
469,-2.0400002,0.87806296
470,-0.8970328,0.7416057
471,-1.3910472,0.68216246
472,-1.990635,0.81363505
473,-0.6779292,0.6803794
474,-0.9924756,0.69784904
475,-0.9717851,0.72054803
476,-0.7920742,0.72021204
477,-1.1861286,0.6825351
478,-1.0287279,0.75540066
479,-0.7342409,0.76806164
480,-0.5452892,0.7315377
481,-0.8210373,0.69370216
482,-1.1526158,0.7765172
483,-1.6876667,0.77769095
484,-1.3664753,0.7858563
485,-1.1559047,0.75562924
486,-0.73989207,0.7253129
487,-1.3535606,0.76018757
488,-0.89144933,0.70288855
489,-1.8378146,0.7891409
490,-1.3447708,0.74398166
491,-0.4980052,0.7012156
492,-1.2335086,0.7552411
493,-0.43749562,0.66379595
494,-0.6217343,0.75745416
495,-1.3690921,0.7782084
496,-0.84156984,0.6735571
497,-0.8705897,0.64967
498,-1.1706294,0.76057774
499,-1.0863155,0.74411154
500,-0.6107369,0.6394356
501,-1.2152404,0.7145994
502,-2.5977056,0.93739486
503,-1.9641712,0.41284484
504,-1.0848752,0.7735265
505,-0.848957,0.7084053
506,-1.5677985,0.66710424
507,-1.109883,0.6602684
508,-0.5901185,0.6524372
509,-1.267968,0.67550915
510,-0.7598961,0.7146924
511,-1.3424827,0.70941883
512,-0.77900475,0.61178845
513,-1.2285812,0.6359409
514,-0.79515344,0.72127897
515,-1.2249855,0.76918143
516,-1.2902999,0.87452483
517,-0.78961056,0.64751124
518,-1.236974,0.7140506
519,-1.1384023,0.69268966
520,-0.9583862,0.72993195
521,-2.7589214,0.8919624
522,-0.9964178,0.6945723
523,-1.4363447,0.6869894
524,-1.6918514,0.7209837
525,-1.3662989,0.68724996
526,-2.6755342,0.8985062
527,-0.81939834,0.7704464
528,-0.8889072,0.6671597
529,-0.91845477,0.69788325
530,-0.79945755,0.6519363
531,-1.1874738,0.7077089
532,-0.8458969,0.71076626
533,-0.71784705,0.7060661
534,-1.0709544,0.79375976
535,-0.79993415,0.7134301
536,-1.512662,0.6959862
537,-0.6380208,0.6759907
538,-0.5816073,0.74425197
539,-0.835512,0.7096727
540,-0.9482706,0.6636101
541,-2.477459,0.95345086
542,-2.1217904,0.906817
543,-1.5406644,0.6912263
544,-0.82610077,0.66508234
545,-2.6360953,0.9035901
546,-0.7220377,0.7090228
547,-0.8322423,0.6552394
548,-0.9622474,0.7040518
549,-1.3641627,0.69072616
550,-0.7058662,0.7110185
551,-2.0580463,0.9327438
552,-1.145051,0.79490477
553,-0.6547873,0.79545426
554,-0.62199116,0.6258235
555,-1.6124413,0.74696916
556,-1.7666639,0.75129324
557,-1.1552691,0.74142355
558,-1.7422034,0.8108145
559,-0.70271635,0.71410346
560,-0.8346114,0.7668175
561,-1.7452412,0.83182055
562,-1.2020904,0.7132222
563,-1.1014415,0.6917857
564,-1.0726835,0.81984794
565,-1.2477901,0.81596
566,-1.5252632,0.7979965
567,-1.3046303,0.7535372
568,-1.16651,0.62538457
569,-1.7680068,0.8489472
570,-0.65825427,0.64961135
571,-0.7392593,0.7305899
572,-0.6453903,0.6746368
573,-2.0092812,0.86203563
574,-1.2276258,0.79862875
575,-0.85738665,0.7567809
576,-0.5757318,0.7349356
