,mean,std
292,-2.0649846,0.6844083
293,-1.846578,0.62013865
294,-1.7781415,0.5518069
295,-1.8533223,0.72791255
296,-2.1222456,0.7942599
297,-1.992737,0.7141224
298,0.75600815,1.7512637
299,-2.2291026,0.67034537
300,-1.6376022,0.60188276
301,-1.8115435,0.6442844
302,-1.5919849,0.5903563
303,-0.018541655,1.5986602
304,-2.3023217,0.8392723
305,-0.46729538,1.7135217
306,-2.4026484,0.72110647
307,-2.7820363,0.9430324
308,-0.18819976,1.8292786
309,-2.6014826,0.8365897
310,-1.638227,0.61031103
311,-2.6576226,0.8695197
312,-2.3415856,0.76354724
313,-0.017034082,1.8721349
314,-2.0840774,0.6937318
315,-2.8185542,0.80545634
316,-0.023579704,1.7009945
317,-0.12766883,1.6150209
318,-1.9239154,0.6022719
319,-1.8483924,0.576866
320,-1.8034934,0.63005614
321,-1.8941603,0.67034554
322,-2.0056508,0.7732906
323,-2.639342,0.76905423
324,-2.073805,0.6951158
325,-1.6510187,0.6395624
326,-1.9547883,0.65062064
327,0.013375057,1.6111107
328,-0.23507228,1.8177748
329,-1.9311478,0.661368
330,-1.9519318,0.7542077
331,-0.2539213,1.7862834
332,-1.634302,0.62302077
333,-2.0032735,0.69208384
334,-2.0106447,0.6966703
335,0.4807932,1.7651277
336,-0.011895985,1.5894688
337,0.5616556,1.8094778
338,-2.291897,0.80917495
339,-2.6703863,0.7080007
340,-2.094176,0.66691124
341,-2.5003588,0.7360169
342,-1.8502947,0.5863767
343,-1.6984226,0.6311143
344,-0.3942011,1.7962607
345,-0.039672233,1.7750918
346,-2.3306315,0.6729462
347,-2.128008,0.72088534
348,-1.2749903,0.498551
349,-1.5887913,0.5721102
350,-2.0219078,0.6324419
351,-2.430228,0.68873477
352,-1.7067612,0.56517404
353,0.038697157,1.8694432
354,-1.5889121,0.5705209
355,-1.6516539,0.627296
356,-2.229557,0.73367786
357,-0.17588148,1.7976725
358,-1.7688732,0.62645835
359,-2.5038302,0.72817934
360,-0.0014168158,1.6366545
361,-2.3983545,0.7487773
362,-1.6177448,0.55834675
363,-2.0465586,0.68964726
364,-1.9321145,0.64081603
365,-2.0969403,0.65029156
366,-2.07594,0.73539317
